Comunidad,Grupo Penal,Rango Edad,Sexo,Año,Detenciones e investigados,Victimizaciones
Baleares,Amenazas y coacciones,41 a 50,Masculino,2013,3.0,63.0
Baleares,Amenazas y coacciones,41 a 50,Masculino,2012,2.0,46.0
Baleares,Amenazas y coacciones,41 a 50,Masculino,2011,3.0,64.0
Baleares,Amenazas y coacciones,41 a 50,Femenino,2019,4.0,0.0
Baleares,Amenazas y coacciones,41 a 50,Femenino,2018,1.0,0.0
Baleares,Amenazas y coacciones,41 a 50,Femenino,2017,2.0,1.0
Baleares,Amenazas y coacciones,41 a 50,Femenino,2016,0.0,0.0
Baleares,Amenazas y coacciones,41 a 50,Femenino,2015,1.0,0.0
Baleares,Amenazas y coacciones,41 a 50,Femenino,2014,1.0,1.0
Baleares,Amenazas y coacciones,41 a 50,Femenino,2013,4.0,0.0
Baleares,Amenazas y coacciones,41 a 50,Femenino,2012,1.0,0.0
Baleares,Amenazas y coacciones,41 a 50,Femenino,2011,0.0,1.0
Baleares,Amenazas y coacciones,51 a 65,Masculino,2019,2.0,67.0
Baleares,Amenazas y coacciones,51 a 65,Masculino,2018,1.0,73.0
Baleares,Amenazas y coacciones,51 a 65,Masculino,2017,1.0,69.0
Baleares,Amenazas y coacciones,51 a 65,Masculino,2016,2.0,53.0
Baleares,Amenazas y coacciones,51 a 65,Masculino,2015,1.0,77.0
Baleares,Amenazas y coacciones,51 a 65,Masculino,2014,4.0,50.0
Baleares,Amenazas y coacciones,51 a 65,Masculino,2013,5.0,50.0
Baleares,Amenazas y coacciones,51 a 65,Masculino,2012,2.0,39.0
Baleares,Amenazas y coacciones,51 a 65,Masculino,2011,2.0,43.0
Baleares,Amenazas y coacciones,51 a 65,Femenino,2019,1.0,44.0
Baleares,Amenazas y coacciones,51 a 65,Femenino,2018,1.0,41.0
Baleares,Amenazas y coacciones,51 a 65,Femenino,2017,0.0,30.0
Baleares,Amenazas y coacciones,51 a 65,Femenino,2016,1.0,40.0
Baleares,Amenazas y coacciones,51 a 65,Femenino,2015,0.0,47.0
Baleares,Amenazas y coacciones,51 a 65,Femenino,2014,2.0,36.0
Baleares,Amenazas y coacciones,51 a 65,Femenino,2013,0.0,27.0
Baleares,Amenazas y coacciones,51 a 65,Femenino,2012,1.0,24.0
Baleares,Amenazas y coacciones,51 a 65,Femenino,2011,1.0,26.0
Baleares,Amenazas y coacciones,> 65,Masculino,2019,2.0,111.0
Baleares,Amenazas y coacciones,> 65,Masculino,2018,1.0,116.0
Baleares,Amenazas y coacciones,> 65,Masculino,2017,0.0,100.0
Baleares,Amenazas y coacciones,> 65,Masculino,2016,0.0,93.0
Baleares,Amenazas y coacciones,> 65,Masculino,2015,0.0,125.0
Baleares,Amenazas y coacciones,> 65,Masculino,2014,0.0,86.0
Baleares,Amenazas y coacciones,> 65,Masculino,2013,0.0,77.0
Baleares,Amenazas y coacciones,> 65,Masculino,2012,0.0,63.0
Baleares,Amenazas y coacciones,> 65,Masculino,2011,0.0,69.0
Baleares,Amenazas y coacciones,> 65,Femenino,2019,1.0,43.0
Baleares,Amenazas y coacciones,> 65,Femenino,2018,0.0,46.0
Baleares,Amenazas y coacciones,> 65,Femenino,2017,0.0,33.0
Baleares,Amenazas y coacciones,> 65,Femenino,2016,0.0,29.0
Baleares,Amenazas y coacciones,> 65,Femenino,2015,0.0,31.0
Baleares,Amenazas y coacciones,> 65,Femenino,2014,0.0,32.0
Baleares,Amenazas y coacciones,> 65,Femenino,2013,0.0,22.0
Baleares,Amenazas y coacciones,> 65,Femenino,2012,0.0,24.0
Baleares,Amenazas y coacciones,> 65,Femenino,2011,0.0,25.0
Baleares,Amenazas y coacciones,Desconocida,Masculino,2019,0.0,0.0
Baleares,Amenazas y coacciones,Desconocida,Masculino,2018,0.0,0.0
Baleares,Amenazas y coacciones,Desconocida,Masculino,2017,0.0,0.0
Baleares,Amenazas y coacciones,Desconocida,Masculino,2016,0.0,0.0
Baleares,Amenazas y coacciones,Desconocida,Masculino,2015,1.0,0.0
Baleares,Amenazas y coacciones,Desconocida,Masculino,2014,0.0,0.0
Baleares,Amenazas y coacciones,Desconocida,Masculino,2013,0.0,0.0
Baleares,Amenazas y coacciones,Desconocida,Masculino,2012,0.0,0.0
Baleares,Amenazas y coacciones,Desconocida,Masculino,2011,0.0,0.0
Baleares,Amenazas y coacciones,Desconocida,Femenino,2019,0.0,57.0
Baleares,Amenazas y coacciones,Desconocida,Femenino,2018,0.0,66.0
Baleares,Amenazas y coacciones,Desconocida,Femenino,2017,0.0,50.0
Baleares,Amenazas y coacciones,Desconocida,Femenino,2016,0.0,52.0
Baleares,Amenazas y coacciones,Desconocida,Femenino,2015,0.0,46.0
Baleares,Amenazas y coacciones,Desconocida,Femenino,2014,0.0,51.0
Baleares,Amenazas y coacciones,Desconocida,Femenino,2013,1.0,32.0
Baleares,Amenazas y coacciones,Desconocida,Femenino,2012,0.0,32.0
Baleares,Amenazas y coacciones,Desconocida,Femenino,2011,2.0,46.0
Baleares,Contra el honor,< 18,Masculino,2019,0.0,0.0
Baleares,Contra el honor,< 18,Masculino,2018,0.0,0.0
Baleares,Contra el honor,< 18,Masculino,2017,0.0,0.0
Baleares,Contra el honor,< 18,Masculino,2016,0.0,1.0
Baleares,Contra el honor,< 18,Masculino,2015,0.0,0.0
Baleares,Contra el honor,< 18,Masculino,2014,0.0,0.0
Baleares,Contra el honor,< 18,Masculino,2013,1.0,0.0
Baleares,Contra el honor,< 18,Masculino,2012,0.0,0.0
Baleares,Contra el honor,< 18,Masculino,2011,1.0,0.0
Baleares,Contra el honor,< 18,Femenino,2019,0.0,2.0
Baleares,Contra el honor,< 18,Femenino,2018,0.0,2.0
Baleares,Contra el honor,< 18,Femenino,2017,0.0,2.0
Baleares,Contra el honor,< 18,Femenino,2016,0.0,5.0
Baleares,Contra el honor,< 18,Femenino,2015,0.0,2.0
Baleares,Contra el honor,< 18,Femenino,2014,0.0,4.0
Baleares,Contra el honor,< 18,Femenino,2013,1.0,4.0
Baleares,Contra el honor,< 18,Femenino,2012,0.0,1.0
Baleares,Contra el honor,< 18,Femenino,2011,0.0,2.0
Baleares,Contra el honor,18 a 25,Masculino,2019,0.0,2.0
Baleares,Contra el honor,18 a 25,Masculino,2018,0.0,2.0
Baleares,Contra el honor,18 a 25,Masculino,2017,0.0,2.0
Baleares,Contra el honor,18 a 25,Masculino,2016,1.0,6.0
Baleares,Contra el honor,18 a 25,Masculino,2015,0.0,2.0
Baleares,Contra el honor,18 a 25,Masculino,2014,0.0,4.0
Baleares,Contra el honor,18 a 25,Masculino,2013,0.0,4.0
Baleares,Contra el honor,18 a 25,Masculino,2012,0.0,1.0
Baleares,Contra el honor,18 a 25,Masculino,2011,1.0,2.0
Baleares,Contra el honor,18 a 25,Femenino,2019,0.0,0.0
Baleares,Contra el honor,18 a 25,Femenino,2018,0.0,0.0
Baleares,Contra el honor,18 a 25,Femenino,2017,0.0,1.0
Baleares,Contra el honor,18 a 25,Femenino,2016,0.0,0.0
Baleares,Contra el honor,18 a 25,Femenino,2015,0.0,1.0
Baleares,Contra el honor,18 a 25,Femenino,2014,1.0,5.0
Baleares,Contra el honor,18 a 25,Femenino,2013,0.0,1.0
Baleares,Contra el honor,18 a 25,Femenino,2012,0.0,1.0
Baleares,Contra el honor,18 a 25,Femenino,2011,0.0,1.0
Baleares,Contra el honor,26 a 40,Masculino,2019,3.0,0.0
Baleares,Contra el honor,26 a 40,Masculino,2018,1.0,0.0
Baleares,Contra el honor,26 a 40,Masculino,2017,1.0,0.0
Baleares,Contra el honor,26 a 40,Masculino,2016,1.0,0.0
Baleares,Contra el honor,26 a 40,Masculino,2015,0.0,0.0
Baleares,Contra el honor,26 a 40,Masculino,2014,1.0,0.0
Baleares,Contra el honor,26 a 40,Masculino,2013,3.0,0.0
Baleares,Contra el honor,26 a 40,Masculino,2012,0.0,0.0
Baleares,Contra el honor,26 a 40,Masculino,2011,0.0,0.0
Baleares,Contra el honor,26 a 40,Femenino,2019,0.0,4.0
Baleares,Contra el honor,26 a 40,Femenino,2018,0.0,1.0
Baleares,Contra el honor,26 a 40,Femenino,2017,0.0,1.0
Baleares,Contra el honor,26 a 40,Femenino,2016,0.0,3.0
Baleares,Contra el honor,26 a 40,Femenino,2015,2.0,4.0
Baleares,Contra el honor,26 a 40,Femenino,2014,0.0,13.0
Baleares,Contra el honor,26 a 40,Femenino,2013,1.0,5.0
Baleares,Contra el honor,26 a 40,Femenino,2012,0.0,4.0
Baleares,Contra el honor,26 a 40,Femenino,2011,1.0,4.0
Baleares,Contra el honor,41 a 50,Masculino,2019,0.0,7.0
Baleares,Contra el honor,41 a 50,Masculino,2018,2.0,10.0
Baleares,Contra el honor,41 a 50,Masculino,2017,0.0,7.0
Baleares,Contra el honor,41 a 50,Masculino,2016,0.0,5.0
Baleares,Contra el honor,41 a 50,Masculino,2015,0.0,15.0
Baleares,Contra el honor,41 a 50,Masculino,2014,0.0,13.0
Baleares,Contra el honor,41 a 50,Masculino,2013,2.0,15.0
Baleares,Contra el honor,41 a 50,Masculino,2012,0.0,14.0
Baleares,Contra el honor,41 a 50,Masculino,2011,0.0,9.0
Baleares,Contra el honor,41 a 50,Femenino,2019,0.0,0.0
Baleares,Contra el honor,41 a 50,Femenino,2018,0.0,0.0
Baleares,Contra el honor,41 a 50,Femenino,2017,0.0,0.0
Baleares,Contra el honor,41 a 50,Femenino,2016,0.0,0.0
Baleares,Contra el honor,41 a 50,Femenino,2015,2.0,1.0
Baleares,Contra el honor,41 a 50,Femenino,2014,0.0,0.0
Baleares,Contra el honor,41 a 50,Femenino,2013,0.0,0.0
Baleares,Contra el honor,41 a 50,Femenino,2012,0.0,0.0
Baleares,Contra el honor,41 a 50,Femenino,2011,0.0,0.0
Baleares,Contra el honor,51 a 65,Masculino,2019,0.0,10.0
Baleares,Contra el honor,51 a 65,Masculino,2018,0.0,5.0
Baleares,Contra el honor,51 a 65,Masculino,2017,1.0,2.0
Baleares,Contra el honor,51 a 65,Masculino,2016,0.0,4.0
Baleares,Contra el honor,51 a 65,Masculino,2015,0.0,7.0
Baleares,Contra el honor,51 a 65,Masculino,2014,0.0,11.0
Baleares,Contra el honor,51 a 65,Masculino,2013,0.0,7.0
Baleares,Contra el honor,51 a 65,Masculino,2012,0.0,2.0
Baleares,Contra el honor,51 a 65,Masculino,2011,0.0,2.0
Baleares,Contra el honor,51 a 65,Femenino,2019,0.0,9.0
Baleares,Contra el honor,51 a 65,Femenino,2018,0.0,4.0
Baleares,Contra el honor,51 a 65,Femenino,2017,0.0,1.0
Baleares,Contra el honor,51 a 65,Femenino,2016,1.0,8.0
Baleares,Contra el honor,51 a 65,Femenino,2015,0.0,10.0
Baleares,Contra el honor,51 a 65,Femenino,2014,1.0,11.0
Baleares,Contra el honor,51 a 65,Femenino,2013,0.0,9.0
Baleares,Contra el honor,51 a 65,Femenino,2012,0.0,5.0
Baleares,Contra el honor,51 a 65,Femenino,2011,0.0,9.0
Baleares,Contra el honor,> 65,Masculino,2019,0.0,19.0
Baleares,Contra el honor,> 65,Masculino,2018,0.0,9.0
Baleares,Contra el honor,> 65,Masculino,2017,0.0,3.0
Baleares,Contra el honor,> 65,Masculino,2016,0.0,12.0
Baleares,Contra el honor,> 65,Masculino,2015,0.0,17.0
Baleares,Contra el honor,> 65,Masculino,2014,0.0,22.0
Baleares,Contra el honor,> 65,Masculino,2013,0.0,16.0
Baleares,Contra el honor,> 65,Masculino,2012,0.0,7.0
Baleares,Contra el honor,> 65,Masculino,2011,0.0,11.0
Baleares,Contra el honor,> 65,Femenino,2019,0.0,5.0
Baleares,Contra el honor,> 65,Femenino,2018,0.0,6.0
Baleares,Contra el honor,> 65,Femenino,2017,0.0,0.0
Baleares,Contra el honor,> 65,Femenino,2016,0.0,3.0
Baleares,Contra el honor,> 65,Femenino,2015,0.0,2.0
Baleares,Contra el honor,> 65,Femenino,2014,0.0,3.0
Baleares,Contra el honor,> 65,Femenino,2013,0.0,0.0
Baleares,Contra el honor,> 65,Femenino,2012,0.0,2.0
Baleares,Contra el honor,> 65,Femenino,2011,0.0,4.0
Baleares,Contra el honor,Desconocida,Masculino,2019,0.0,0.0
Baleares,Contra el honor,Desconocida,Masculino,2018,0.0,0.0
Baleares,Contra el honor,Desconocida,Masculino,2017,0.0,0.0
Baleares,Contra el honor,Desconocida,Masculino,2016,0.0,0.0
Baleares,Contra el honor,Desconocida,Masculino,2015,0.0,0.0
Baleares,Contra el honor,Desconocida,Masculino,2014,0.0,0.0
Baleares,Contra el honor,Desconocida,Masculino,2013,0.0,0.0
Baleares,Contra el honor,Desconocida,Masculino,2012,0.0,0.0
Baleares,Contra el honor,Desconocida,Masculino,2011,0.0,0.0
Baleares,Contra el honor,Desconocida,Femenino,2019,0.0,8.0
Baleares,Contra el honor,Desconocida,Femenino,2018,0.0,11.0
Baleares,Contra el honor,Desconocida,Femenino,2017,0.0,1.0
Baleares,Contra el honor,Desconocida,Femenino,2016,0.0,5.0
Baleares,Contra el honor,Desconocida,Femenino,2015,0.0,5.0
Baleares,Contra el honor,Desconocida,Femenino,2014,0.0,8.0
Baleares,Contra el honor,Desconocida,Femenino,2013,0.0,1.0
Baleares,Contra el honor,Desconocida,Femenino,2012,0.0,4.0
Baleares,Contra el honor,Desconocida,Femenino,2011,0.0,6.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Masculino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Masculino,2018,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Masculino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Masculino,2016,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Masculino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Masculino,2014,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Masculino,2013,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Masculino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Masculino,2011,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Femenino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Femenino,2018,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Femenino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Femenino,2016,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Femenino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Femenino,2014,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Femenino,2013,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Femenino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,< 18,Femenino,2011,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Masculino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Masculino,2018,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Masculino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Masculino,2016,2.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Masculino,2015,1.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Masculino,2014,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Masculino,2013,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Masculino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Masculino,2011,3.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Femenino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Femenino,2018,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Femenino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Femenino,2016,1.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Femenino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Femenino,2014,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Femenino,2013,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Femenino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,18 a 25,Femenino,2011,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Masculino,2019,2.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Masculino,2018,2.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Masculino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Masculino,2016,12.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Masculino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Masculino,2014,1.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Masculino,2013,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Masculino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Masculino,2011,7.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Femenino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Femenino,2018,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Femenino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Femenino,2016,2.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Femenino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Femenino,2014,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Femenino,2013,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Femenino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,26 a 40,Femenino,2011,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Masculino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Masculino,2018,1.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Masculino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Masculino,2016,7.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Masculino,2015,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Masculino,2014,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Masculino,2013,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Masculino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Masculino,2011,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2018,1.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2016,1.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2014,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2013,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2011,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2018,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2016,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2014,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2013,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2012,1.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2011,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2018,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2016,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2014,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2013,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2011,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Masculino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Masculino,2018,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Masculino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Masculino,2016,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Masculino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Masculino,2014,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Masculino,2013,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Masculino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Masculino,2011,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Femenino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Femenino,2018,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Femenino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Femenino,2016,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Femenino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Femenino,2014,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Femenino,2013,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Femenino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,> 65,Femenino,2011,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2018,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2016,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2014,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2013,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2011,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2019,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2018,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2017,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2016,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2015,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2014,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2013,0.0,1.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2012,0.0,0.0
Baleares,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2011,0.0,0.0
Baleares,Delitos sexuales,< 18,Masculino,2019,1.0,5.0
Baleares,Delitos sexuales,< 18,Masculino,2018,5.0,11.0
Baleares,Delitos sexuales,< 18,Masculino,2017,1.0,21.0
Baleares,Delitos sexuales,< 18,Masculino,2016,1.0,26.0
Baleares,Delitos sexuales,< 18,Masculino,2015,3.0,4.0
Baleares,Delitos sexuales,< 18,Masculino,2014,8.0,9.0
Baleares,Delitos sexuales,< 18,Masculino,2013,6.0,2.0
Baleares,Delitos sexuales,< 18,Masculino,2012,0.0,7.0
Baleares,Delitos sexuales,< 18,Masculino,2011,1.0,2.0
Baleares,Delitos sexuales,< 18,Femenino,2019,0.0,22.0
Baleares,Delitos sexuales,< 18,Femenino,2018,1.0,27.0
Baleares,Delitos sexuales,< 18,Femenino,2017,0.0,31.0
Baleares,Delitos sexuales,< 18,Femenino,2016,0.0,21.0
Baleares,Delitos sexuales,< 18,Femenino,2015,0.0,9.0
Baleares,Delitos sexuales,< 18,Femenino,2014,0.0,26.0
Baleares,Delitos sexuales,< 18,Femenino,2013,0.0,19.0
Baleares,Delitos sexuales,< 18,Femenino,2012,0.0,16.0
Baleares,Delitos sexuales,< 18,Femenino,2011,0.0,11.0
Baleares,Delitos sexuales,18 a 25,Masculino,2019,4.0,28.0
Baleares,Delitos sexuales,18 a 25,Masculino,2018,1.0,40.0
Baleares,Delitos sexuales,18 a 25,Masculino,2017,3.0,52.0
Baleares,Delitos sexuales,18 a 25,Masculino,2016,7.0,48.0
Baleares,Delitos sexuales,18 a 25,Masculino,2015,2.0,13.0
Baleares,Delitos sexuales,18 a 25,Masculino,2014,4.0,36.0
Baleares,Delitos sexuales,18 a 25,Masculino,2013,3.0,21.0
Baleares,Delitos sexuales,18 a 25,Masculino,2012,2.0,23.0
Baleares,Delitos sexuales,18 a 25,Masculino,2011,0.0,13.0
Baleares,Delitos sexuales,18 a 25,Femenino,2019,0.0,0.0
Baleares,Delitos sexuales,18 a 25,Femenino,2018,0.0,0.0
Baleares,Delitos sexuales,18 a 25,Femenino,2017,0.0,2.0
Baleares,Delitos sexuales,18 a 25,Femenino,2016,0.0,5.0
Baleares,Delitos sexuales,18 a 25,Femenino,2015,0.0,1.0
Baleares,Delitos sexuales,18 a 25,Femenino,2014,0.0,0.0
Baleares,Delitos sexuales,18 a 25,Femenino,2013,0.0,0.0
Baleares,Delitos sexuales,18 a 25,Femenino,2012,0.0,0.0
Baleares,Delitos sexuales,18 a 25,Femenino,2011,0.0,0.0
Baleares,Delitos sexuales,26 a 40,Masculino,2019,3.0,0.0
Baleares,Delitos sexuales,26 a 40,Masculino,2018,4.0,0.0
Baleares,Delitos sexuales,26 a 40,Masculino,2017,7.0,0.0
Baleares,Delitos sexuales,26 a 40,Masculino,2016,6.0,0.0
Baleares,Delitos sexuales,26 a 40,Masculino,2015,1.0,0.0
Baleares,Delitos sexuales,26 a 40,Masculino,2014,3.0,0.0
Baleares,Delitos sexuales,26 a 40,Masculino,2013,9.0,0.0
Baleares,Delitos sexuales,26 a 40,Masculino,2012,2.0,0.0
Baleares,Delitos sexuales,26 a 40,Masculino,2011,0.0,0.0
Baleares,Delitos sexuales,26 a 40,Femenino,2019,0.0,1.0
Baleares,Delitos sexuales,26 a 40,Femenino,2018,0.0,5.0
Baleares,Delitos sexuales,26 a 40,Femenino,2017,0.0,3.0
Baleares,Delitos sexuales,26 a 40,Femenino,2016,0.0,9.0
Baleares,Delitos sexuales,26 a 40,Femenino,2015,1.0,1.0
