Comunidad,Grupo Penal,Rango Edad,Sexo,Año,Detenciones e investigados
Baleares,Delitos sexuales,26 a 40,Femenino,2015,1.0
Baleares,Delitos sexuales,26 a 40,Femenino,2014,0.0
Baleares,Delitos sexuales,26 a 40,Femenino,2013,1.0
Baleares,Delitos sexuales,26 a 40,Femenino,2012,0.0
Baleares,Delitos sexuales,26 a 40,Femenino,2011,0.0
Baleares,Delitos sexuales,41 a 50,Masculino,2019,1.0
Baleares,Delitos sexuales,41 a 50,Masculino,2018,6.0
Baleares,Delitos sexuales,41 a 50,Masculino,2017,2.0
Baleares,Delitos sexuales,41 a 50,Masculino,2016,5.0
Baleares,Delitos sexuales,41 a 50,Masculino,2015,3.0
Baleares,Delitos sexuales,41 a 50,Masculino,2014,1.0
Baleares,Delitos sexuales,41 a 50,Masculino,2013,3.0
Baleares,Delitos sexuales,41 a 50,Masculino,2012,4.0
Baleares,Delitos sexuales,41 a 50,Masculino,2011,1.0
Baleares,Delitos sexuales,41 a 50,Femenino,2019,0.0
Baleares,Delitos sexuales,41 a 50,Femenino,2018,0.0
Baleares,Delitos sexuales,41 a 50,Femenino,2017,0.0
Baleares,Delitos sexuales,41 a 50,Femenino,2016,0.0
Baleares,Delitos sexuales,41 a 50,Femenino,2015,0.0
Baleares,Delitos sexuales,41 a 50,Femenino,2014,1.0
Baleares,Delitos sexuales,41 a 50,Femenino,2013,0.0
Baleares,Delitos sexuales,41 a 50,Femenino,2012,0.0
Baleares,Delitos sexuales,41 a 50,Femenino,2011,0.0
Baleares,Delitos sexuales,51 a 65,Masculino,2019,1.0
Baleares,Delitos sexuales,51 a 65,Masculino,2018,0.0
Baleares,Delitos sexuales,51 a 65,Masculino,2017,4.0
Baleares,Delitos sexuales,51 a 65,Masculino,2016,3.0
Baleares,Delitos sexuales,51 a 65,Masculino,2015,2.0
Baleares,Delitos sexuales,51 a 65,Masculino,2014,5.0
Baleares,Delitos sexuales,51 a 65,Masculino,2013,0.0
Baleares,Delitos sexuales,51 a 65,Masculino,2012,1.0
Baleares,Delitos sexuales,51 a 65,Masculino,2011,2.0
Baleares,Delitos sexuales,51 a 65,Femenino,2019,0.0
Baleares,Delitos sexuales,51 a 65,Femenino,2018,0.0
Baleares,Delitos sexuales,51 a 65,Femenino,2017,0.0
Baleares,Delitos sexuales,51 a 65,Femenino,2016,0.0
Baleares,Delitos sexuales,51 a 65,Femenino,2015,0.0
Baleares,Delitos sexuales,51 a 65,Femenino,2014,1.0
Baleares,Delitos sexuales,51 a 65,Femenino,2013,0.0
Baleares,Delitos sexuales,51 a 65,Femenino,2012,0.0
Baleares,Delitos sexuales,51 a 65,Femenino,2011,0.0
Baleares,Delitos sexuales,> 65,Masculino,2019,0.0
Baleares,Delitos sexuales,> 65,Masculino,2018,0.0
Baleares,Delitos sexuales,> 65,Masculino,2017,1.0
Baleares,Delitos sexuales,> 65,Masculino,2016,1.0
Baleares,Delitos sexuales,> 65,Masculino,2015,0.0
Baleares,Delitos sexuales,> 65,Masculino,2014,2.0
Baleares,Delitos sexuales,> 65,Masculino,2013,0.0
Baleares,Delitos sexuales,> 65,Masculino,2012,2.0
Baleares,Delitos sexuales,> 65,Masculino,2011,2.0
Baleares,Delitos sexuales,> 65,Femenino,2019,0.0
Baleares,Delitos sexuales,> 65,Femenino,2018,0.0
Baleares,Delitos sexuales,> 65,Femenino,2017,0.0
Baleares,Delitos sexuales,> 65,Femenino,2016,0.0
Baleares,Delitos sexuales,> 65,Femenino,2015,0.0
Baleares,Delitos sexuales,> 65,Femenino,2014,0.0
Baleares,Delitos sexuales,> 65,Femenino,2013,0.0
Baleares,Delitos sexuales,> 65,Femenino,2012,0.0
Baleares,Delitos sexuales,> 65,Femenino,2011,0.0
Baleares,Delitos sexuales,Desconocida,Masculino,2019,0.0
Baleares,Delitos sexuales,Desconocida,Masculino,2018,0.0
Baleares,Delitos sexuales,Desconocida,Masculino,2017,0.0
Baleares,Delitos sexuales,Desconocida,Masculino,2016,0.0
Baleares,Delitos sexuales,Desconocida,Masculino,2015,0.0
Baleares,Delitos sexuales,Desconocida,Masculino,2014,0.0
Baleares,Delitos sexuales,Desconocida,Masculino,2013,0.0
Baleares,Delitos sexuales,Desconocida,Masculino,2012,0.0
Baleares,Delitos sexuales,Desconocida,Masculino,2011,0.0
Baleares,Delitos sexuales,Desconocida,Femenino,2019,0.0
Baleares,Delitos sexuales,Desconocida,Femenino,2018,0.0
Baleares,Delitos sexuales,Desconocida,Femenino,2017,0.0
Baleares,Delitos sexuales,Desconocida,Femenino,2016,0.0
Baleares,Delitos sexuales,Desconocida,Femenino,2015,0.0
Baleares,Delitos sexuales,Desconocida,Femenino,2014,0.0
Baleares,Delitos sexuales,Desconocida,Femenino,2013,0.0
Baleares,Delitos sexuales,Desconocida,Femenino,2012,0.0
Baleares,Delitos sexuales,Desconocida,Femenino,2011,0.0
Baleares,Falsificación informática,< 18,Masculino,2019,0.0
Baleares,Falsificación informática,< 18,Masculino,2018,0.0
Baleares,Falsificación informática,< 18,Masculino,2017,0.0
Baleares,Falsificación informática,< 18,Masculino,2016,0.0
Baleares,Falsificación informática,< 18,Masculino,2015,0.0
Baleares,Falsificación informática,< 18,Masculino,2014,0.0
Baleares,Falsificación informática,< 18,Masculino,2013,0.0
Baleares,Falsificación informática,< 18,Masculino,2012,0.0
Baleares,Falsificación informática,< 18,Masculino,2011,0.0
Baleares,Falsificación informática,< 18,Femenino,2019,0.0
Baleares,Falsificación informática,< 18,Femenino,2018,0.0
Baleares,Falsificación informática,< 18,Femenino,2017,0.0
Baleares,Falsificación informática,< 18,Femenino,2016,0.0
Baleares,Falsificación informática,< 18,Femenino,2015,1.0
Baleares,Falsificación informática,< 18,Femenino,2014,0.0
Baleares,Falsificación informática,< 18,Femenino,2013,0.0
Baleares,Falsificación informática,< 18,Femenino,2012,0.0
Baleares,Falsificación informática,< 18,Femenino,2011,1.0
Baleares,Falsificación informática,18 a 25,Masculino,2019,2.0
Baleares,Falsificación informática,18 a 25,Masculino,2018,1.0
Baleares,Falsificación informática,18 a 25,Masculino,2017,1.0
Baleares,Falsificación informática,18 a 25,Masculino,2016,0.0
Baleares,Falsificación informática,18 a 25,Masculino,2015,0.0
Baleares,Falsificación informática,18 a 25,Masculino,2014,1.0
Baleares,Falsificación informática,18 a 25,Masculino,2013,0.0
Baleares,Falsificación informática,18 a 25,Masculino,2012,0.0
Baleares,Falsificación informática,18 a 25,Masculino,2011,0.0
Baleares,Falsificación informática,18 a 25,Femenino,2019,0.0
Baleares,Falsificación informática,18 a 25,Femenino,2018,0.0
Baleares,Falsificación informática,18 a 25,Femenino,2017,0.0
Baleares,Falsificación informática,18 a 25,Femenino,2016,1.0
Baleares,Falsificación informática,18 a 25,Femenino,2015,0.0
Baleares,Falsificación informática,18 a 25,Femenino,2014,0.0
Baleares,Falsificación informática,18 a 25,Femenino,2013,0.0
Baleares,Falsificación informática,18 a 25,Femenino,2012,0.0
Baleares,Falsificación informática,18 a 25,Femenino,2011,3.0
Baleares,Falsificación informática,26 a 40,Masculino,2019,1.0
Baleares,Falsificación informática,26 a 40,Masculino,2018,4.0
Baleares,Falsificación informática,26 a 40,Masculino,2017,1.0
Baleares,Falsificación informática,26 a 40,Masculino,2016,0.0
Baleares,Falsificación informática,26 a 40,Masculino,2015,0.0
Baleares,Falsificación informática,26 a 40,Masculino,2014,2.0
Baleares,Falsificación informática,26 a 40,Masculino,2013,1.0
Baleares,Falsificación informática,26 a 40,Masculino,2012,1.0
Baleares,Falsificación informática,26 a 40,Masculino,2011,4.0
Baleares,Falsificación informática,26 a 40,Femenino,2019,0.0
Baleares,Falsificación informática,26 a 40,Femenino,2018,2.0
Baleares,Falsificación informática,26 a 40,Femenino,2017,1.0
Baleares,Falsificación informática,26 a 40,Femenino,2016,2.0
Baleares,Falsificación informática,26 a 40,Femenino,2015,0.0
Baleares,Falsificación informática,26 a 40,Femenino,2014,1.0
Baleares,Falsificación informática,26 a 40,Femenino,2013,0.0
Baleares,Falsificación informática,26 a 40,Femenino,2012,1.0
Baleares,Falsificación informática,26 a 40,Femenino,2011,1.0
Baleares,Falsificación informática,41 a 50,Masculino,2019,1.0
Baleares,Falsificación informática,41 a 50,Masculino,2018,1.0
Baleares,Falsificación informática,41 a 50,Masculino,2017,1.0
Baleares,Falsificación informática,41 a 50,Masculino,2016,0.0
Baleares,Falsificación informática,41 a 50,Masculino,2015,1.0
Baleares,Falsificación informática,41 a 50,Masculino,2014,0.0
Baleares,Falsificación informática,41 a 50,Masculino,2013,1.0
Baleares,Falsificación informática,41 a 50,Masculino,2012,0.0
Baleares,Falsificación informática,41 a 50,Masculino,2011,0.0
Baleares,Falsificación informática,41 a 50,Femenino,2019,0.0
Baleares,Falsificación informática,41 a 50,Femenino,2018,0.0
Baleares,Falsificación informática,41 a 50,Femenino,2017,1.0
Baleares,Falsificación informática,41 a 50,Femenino,2016,0.0
Baleares,Falsificación informática,41 a 50,Femenino,2015,1.0
Baleares,Falsificación informática,41 a 50,Femenino,2014,0.0
Baleares,Falsificación informática,41 a 50,Femenino,2013,0.0
Baleares,Falsificación informática,41 a 50,Femenino,2012,0.0
Baleares,Falsificación informática,41 a 50,Femenino,2011,0.0
Baleares,Falsificación informática,51 a 65,Masculino,2019,2.0
Baleares,Falsificación informática,51 a 65,Masculino,2018,1.0
Baleares,Falsificación informática,51 a 65,Masculino,2017,0.0
Baleares,Falsificación informática,51 a 65,Masculino,2016,1.0
Baleares,Falsificación informática,51 a 65,Masculino,2015,0.0
Baleares,Falsificación informática,51 a 65,Masculino,2014,2.0
Baleares,Falsificación informática,51 a 65,Masculino,2013,0.0
Baleares,Falsificación informática,51 a 65,Masculino,2012,0.0
Baleares,Falsificación informática,51 a 65,Masculino,2011,0.0
Baleares,Falsificación informática,51 a 65,Femenino,2019,1.0
Baleares,Falsificación informática,51 a 65,Femenino,2018,0.0
Baleares,Falsificación informática,51 a 65,Femenino,2017,0.0
Baleares,Falsificación informática,51 a 65,Femenino,2016,0.0
Baleares,Falsificación informática,51 a 65,Femenino,2015,0.0
Baleares,Falsificación informática,51 a 65,Femenino,2014,0.0
Baleares,Falsificación informática,51 a 65,Femenino,2013,0.0
Baleares,Falsificación informática,51 a 65,Femenino,2012,0.0
Baleares,Falsificación informática,51 a 65,Femenino,2011,0.0
Baleares,Falsificación informática,> 65,Masculino,2019,0.0
Baleares,Falsificación informática,> 65,Masculino,2018,0.0
Baleares,Falsificación informática,> 65,Masculino,2017,0.0
Baleares,Falsificación informática,> 65,Masculino,2016,0.0
Baleares,Falsificación informática,> 65,Masculino,2015,0.0
Baleares,Falsificación informática,> 65,Masculino,2014,0.0
Baleares,Falsificación informática,> 65,Masculino,2013,0.0
Baleares,Falsificación informática,> 65,Masculino,2012,0.0
Baleares,Falsificación informática,> 65,Masculino,2011,0.0
Baleares,Falsificación informática,> 65,Femenino,2019,0.0
Baleares,Falsificación informática,> 65,Femenino,2018,0.0
Baleares,Falsificación informática,> 65,Femenino,2017,0.0
Baleares,Falsificación informática,> 65,Femenino,2016,0.0
Baleares,Falsificación informática,> 65,Femenino,2015,0.0
Baleares,Falsificación informática,> 65,Femenino,2014,0.0
Baleares,Falsificación informática,> 65,Femenino,2013,0.0
Baleares,Falsificación informática,> 65,Femenino,2012,0.0
Baleares,Falsificación informática,> 65,Femenino,2011,0.0
Baleares,Falsificación informática,Desconocida,Masculino,2019,0.0
Baleares,Falsificación informática,Desconocida,Masculino,2018,0.0
Baleares,Falsificación informática,Desconocida,Masculino,2017,0.0
Baleares,Falsificación informática,Desconocida,Masculino,2016,0.0
Baleares,Falsificación informática,Desconocida,Masculino,2015,0.0
Baleares,Falsificación informática,Desconocida,Masculino,2014,0.0
Baleares,Falsificación informática,Desconocida,Masculino,2013,0.0
Baleares,Falsificación informática,Desconocida,Masculino,2012,0.0
Baleares,Falsificación informática,Desconocida,Masculino,2011,0.0
Baleares,Falsificación informática,Desconocida,Femenino,2019,0.0
Baleares,Falsificación informática,Desconocida,Femenino,2018,0.0
Baleares,Falsificación informática,Desconocida,Femenino,2017,0.0
Baleares,Falsificación informática,Desconocida,Femenino,2016,0.0
Baleares,Falsificación informática,Desconocida,Femenino,2015,0.0
Baleares,Falsificación informática,Desconocida,Femenino,2014,0.0
Baleares,Falsificación informática,Desconocida,Femenino,2013,0.0
Baleares,Falsificación informática,Desconocida,Femenino,2012,0.0
Baleares,Falsificación informática,Desconocida,Femenino,2011,1.0
Baleares,Fraude informático,< 18,Masculino,2019,0.0
Baleares,Fraude informático,< 18,Masculino,2018,1.0
Baleares,Fraude informático,< 18,Masculino,2017,3.0
Baleares,Fraude informático,< 18,Masculino,2016,0.0
Baleares,Fraude informático,< 18,Masculino,2015,0.0
Baleares,Fraude informático,< 18,Masculino,2014,0.0
Baleares,Fraude informático,< 18,Masculino,2013,2.0
Baleares,Fraude informático,< 18,Masculino,2012,0.0
Baleares,Fraude informático,< 18,Masculino,2011,0.0
Baleares,Fraude informático,< 18,Femenino,2019,0.0
Baleares,Fraude informático,< 18,Femenino,2018,0.0
Baleares,Fraude informático,< 18,Femenino,2017,1.0
Baleares,Fraude informático,< 18,Femenino,2016,0.0
Baleares,Fraude informático,< 18,Femenino,2015,0.0
Baleares,Fraude informático,< 18,Femenino,2014,0.0
Baleares,Fraude informático,< 18,Femenino,2013,1.0
Baleares,Fraude informático,< 18,Femenino,2012,0.0
Baleares,Fraude informático,< 18,Femenino,2011,1.0
Baleares,Fraude informático,18 a 25,Masculino,2019,17.0
Baleares,Fraude informático,18 a 25,Masculino,2018,13.0
Baleares,Fraude informático,18 a 25,Masculino,2017,6.0
Baleares,Fraude informático,18 a 25,Masculino,2016,6.0
Baleares,Fraude informático,18 a 25,Masculino,2015,6.0
Baleares,Fraude informático,18 a 25,Masculino,2014,8.0
Baleares,Fraude informático,18 a 25,Masculino,2013,7.0
Baleares,Fraude informático,18 a 25,Masculino,2012,7.0
Baleares,Fraude informático,18 a 25,Masculino,2011,9.0
Baleares,Fraude informático,18 a 25,Femenino,2019,2.0
Baleares,Fraude informático,18 a 25,Femenino,2018,1.0
Baleares,Fraude informático,18 a 25,Femenino,2017,1.0
Baleares,Fraude informático,18 a 25,Femenino,2016,2.0
Baleares,Fraude informático,18 a 25,Femenino,2015,0.0
Baleares,Fraude informático,18 a 25,Femenino,2014,4.0
Baleares,Fraude informático,18 a 25,Femenino,2013,4.0
Baleares,Fraude informático,18 a 25,Femenino,2012,2.0
Baleares,Fraude informático,18 a 25,Femenino,2011,4.0
Baleares,Fraude informático,26 a 40,Masculino,2019,15.0
Baleares,Fraude informático,26 a 40,Masculino,2018,3.0
Baleares,Fraude informático,26 a 40,Masculino,2017,6.0
Baleares,Fraude informático,26 a 40,Masculino,2016,14.0
Baleares,Fraude informático,26 a 40,Masculino,2015,20.0
Baleares,Fraude informático,26 a 40,Masculino,2014,16.0
Baleares,Fraude informático,26 a 40,Masculino,2013,14.0
Baleares,Fraude informático,26 a 40,Masculino,2012,15.0
Baleares,Fraude informático,26 a 40,Masculino,2011,8.0
Baleares,Fraude informático,26 a 40,Femenino,2019,11.0
Baleares,Fraude informático,26 a 40,Femenino,2018,8.0
Baleares,Fraude informático,26 a 40,Femenino,2017,7.0
Baleares,Fraude informático,26 a 40,Femenino,2016,2.0
Baleares,Fraude informático,26 a 40,Femenino,2015,1.0
Baleares,Fraude informático,26 a 40,Femenino,2014,3.0
Baleares,Fraude informático,26 a 40,Femenino,2013,6.0
Baleares,Fraude informático,26 a 40,Femenino,2012,9.0
Baleares,Fraude informático,26 a 40,Femenino,2011,8.0
Baleares,Fraude informático,41 a 50,Masculino,2019,9.0
Baleares,Fraude informático,41 a 50,Masculino,2018,9.0
Baleares,Fraude informático,41 a 50,Masculino,2017,6.0
Baleares,Fraude informático,41 a 50,Masculino,2016,7.0
Baleares,Fraude informático,41 a 50,Masculino,2015,8.0
Baleares,Fraude informático,41 a 50,Masculino,2014,7.0
Baleares,Fraude informático,41 a 50,Masculino,2013,3.0
Baleares,Fraude informático,41 a 50,Masculino,2012,4.0
Baleares,Fraude informático,41 a 50,Masculino,2011,3.0
Baleares,Fraude informático,41 a 50,Femenino,2019,2.0
Baleares,Fraude informático,41 a 50,Femenino,2018,4.0
Baleares,Fraude informático,41 a 50,Femenino,2017,5.0
Baleares,Fraude informático,41 a 50,Femenino,2016,1.0
Baleares,Fraude informático,41 a 50,Femenino,2015,2.0
Baleares,Fraude informático,41 a 50,Femenino,2014,3.0
Baleares,Fraude informático,41 a 50,Femenino,2013,2.0
Baleares,Fraude informático,41 a 50,Femenino,2012,1.0
Baleares,Fraude informático,41 a 50,Femenino,2011,1.0
Baleares,Fraude informático,51 a 65,Masculino,2019,3.0
Baleares,Fraude informático,51 a 65,Masculino,2018,1.0
Baleares,Fraude informático,51 a 65,Masculino,2017,1.0
Baleares,Fraude informático,51 a 65,Masculino,2016,1.0
Baleares,Fraude informático,51 a 65,Masculino,2015,1.0
Baleares,Fraude informático,51 a 65,Masculino,2014,3.0
Baleares,Fraude informático,51 a 65,Masculino,2013,4.0
Baleares,Fraude informático,51 a 65,Masculino,2012,1.0
Baleares,Fraude informático,51 a 65,Masculino,2011,1.0
Baleares,Fraude informático,51 a 65,Femenino,2019,2.0
Baleares,Fraude informático,51 a 65,Femenino,2018,1.0
Baleares,Fraude informático,51 a 65,Femenino,2017,1.0
Baleares,Fraude informático,51 a 65,Femenino,2016,1.0
Baleares,Fraude informático,51 a 65,Femenino,2015,0.0
Baleares,Fraude informático,51 a 65,Femenino,2014,0.0
Baleares,Fraude informático,51 a 65,Femenino,2013,0.0
Baleares,Fraude informático,51 a 65,Femenino,2012,1.0
Baleares,Fraude informático,51 a 65,Femenino,2011,0.0
Baleares,Fraude informático,> 65,Masculino,2019,2.0
Baleares,Fraude informático,> 65,Masculino,2018,0.0
Baleares,Fraude informático,> 65,Masculino,2017,0.0
Baleares,Fraude informático,> 65,Masculino,2016,2.0
Baleares,Fraude informático,> 65,Masculino,2015,0.0
Baleares,Fraude informático,> 65,Masculino,2014,1.0
Baleares,Fraude informático,> 65,Masculino,2013,0.0
Baleares,Fraude informático,> 65,Masculino,2012,0.0
Baleares,Fraude informático,> 65,Masculino,2011,1.0
Baleares,Fraude informático,> 65,Femenino,2019,0.0
Baleares,Fraude informático,> 65,Femenino,2018,0.0
Baleares,Fraude informático,> 65,Femenino,2017,0.0
Baleares,Fraude informático,> 65,Femenino,2016,0.0
Baleares,Fraude informático,> 65,Femenino,2015,0.0
Baleares,Fraude informático,> 65,Femenino,2014,0.0
Baleares,Fraude informático,> 65,Femenino,2013,0.0
Baleares,Fraude informático,> 65,Femenino,2012,0.0
Baleares,Fraude informático,> 65,Femenino,2011,0.0
Baleares,Fraude informático,Desconocida,Masculino,2019,0.0
Baleares,Fraude informático,Desconocida,Masculino,2018,1.0
Baleares,Fraude informático,Desconocida,Masculino,2017,0.0
Baleares,Fraude informático,Desconocida,Masculino,2016,0.0
Baleares,Fraude informático,Desconocida,Masculino,2015,0.0
Baleares,Fraude informático,Desconocida,Masculino,2014,0.0
Baleares,Fraude informático,Desconocida,Masculino,2013,0.0
Baleares,Fraude informático,Desconocida,Masculino,2012,2.0
Baleares,Fraude informático,Desconocida,Masculino,2011,1.0
Baleares,Fraude informático,Desconocida,Femenino,2019,0.0
Baleares,Fraude informático,Desconocida,Femenino,2018,0.0
Baleares,Fraude informático,Desconocida,Femenino,2017,1.0
Baleares,Fraude informático,Desconocida,Femenino,2016,0.0
Baleares,Fraude informático,Desconocida,Femenino,2015,0.0
Baleares,Fraude informático,Desconocida,Femenino,2014,0.0
Baleares,Fraude informático,Desconocida,Femenino,2013,0.0
Baleares,Fraude informático,Desconocida,Femenino,2012,0.0
Baleares,Fraude informático,Desconocida,Femenino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Masculino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Masculino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Masculino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Masculino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Masculino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Masculino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Masculino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Masculino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Masculino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Femenino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Femenino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Femenino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Femenino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Femenino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Femenino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Femenino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Femenino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,< 18,Femenino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Masculino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Masculino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Masculino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Masculino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Masculino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Masculino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Masculino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Masculino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Masculino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Femenino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Femenino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Femenino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Femenino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Femenino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Femenino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Femenino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Femenino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,18 a 25,Femenino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Masculino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Masculino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Masculino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Masculino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Masculino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Masculino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Masculino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Masculino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Masculino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Femenino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Femenino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Femenino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Femenino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Femenino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Femenino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Femenino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Femenino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,26 a 40,Femenino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Masculino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Masculino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Masculino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Masculino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Masculino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Masculino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Masculino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Masculino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Masculino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Femenino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Femenino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Femenino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Femenino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Femenino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Femenino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Femenino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Femenino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,41 a 50,Femenino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Masculino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Masculino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Masculino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Masculino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Masculino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Masculino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Masculino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Masculino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Masculino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Femenino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Femenino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Femenino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Femenino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Femenino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Femenino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Femenino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Femenino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,51 a 65,Femenino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Masculino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Masculino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Masculino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Masculino,2016,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Masculino,2015,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Masculino,2014,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Masculino,2013,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Masculino,2012,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Masculino,2011,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Femenino,2019,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Femenino,2018,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Femenino,2017,0.0
Baleares,Interferencia en los datos y en el sistema,> 65,Femenino,2016,0.0
