Comunidad,Grupo Penal,Rango Edad,Sexo,Año,Victimizaciones
Aragón,Fraude informático,Desconocida,Femenino,2014,211.0
Aragón,Fraude informático,Desconocida,Femenino,2013,110.0
Aragón,Fraude informático,Desconocida,Femenino,2012,117.0
Aragón,Fraude informático,Desconocida,Femenino,2011,54.0
Aragón,Interferencia en los datos y en el sistema,< 18,Masculino,2019,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Masculino,2018,1.0
Aragón,Interferencia en los datos y en el sistema,< 18,Masculino,2017,1.0
Aragón,Interferencia en los datos y en el sistema,< 18,Masculino,2016,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Masculino,2015,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Masculino,2014,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Masculino,2013,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Masculino,2012,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Masculino,2011,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Femenino,2019,1.0
Aragón,Interferencia en los datos y en el sistema,< 18,Femenino,2018,2.0
Aragón,Interferencia en los datos y en el sistema,< 18,Femenino,2017,1.0
Aragón,Interferencia en los datos y en el sistema,< 18,Femenino,2016,1.0
Aragón,Interferencia en los datos y en el sistema,< 18,Femenino,2015,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Femenino,2014,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Femenino,2013,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Femenino,2012,0.0
Aragón,Interferencia en los datos y en el sistema,< 18,Femenino,2011,0.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Masculino,2019,1.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Masculino,2018,3.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Masculino,2017,2.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Masculino,2016,1.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Masculino,2015,0.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Masculino,2014,0.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Masculino,2013,0.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Masculino,2012,0.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Masculino,2011,0.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Femenino,2019,2.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Femenino,2018,1.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Femenino,2017,1.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Femenino,2016,1.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Femenino,2015,4.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Femenino,2014,0.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Femenino,2013,0.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Femenino,2012,0.0
Aragón,Interferencia en los datos y en el sistema,18 a 25,Femenino,2011,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Masculino,2019,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Masculino,2018,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Masculino,2017,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Masculino,2016,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Masculino,2015,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Masculino,2014,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Masculino,2013,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Masculino,2012,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Masculino,2011,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Femenino,2019,3.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Femenino,2018,1.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Femenino,2017,2.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Femenino,2016,2.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Femenino,2015,4.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Femenino,2014,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Femenino,2013,2.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Femenino,2012,0.0
Aragón,Interferencia en los datos y en el sistema,26 a 40,Femenino,2011,1.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Masculino,2019,5.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Masculino,2018,7.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Masculino,2017,2.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Masculino,2016,6.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Masculino,2015,6.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Masculino,2014,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Masculino,2013,1.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Masculino,2012,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Masculino,2011,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Femenino,2019,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Femenino,2018,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Femenino,2017,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Femenino,2016,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Femenino,2015,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Femenino,2014,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Femenino,2013,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Femenino,2012,0.0
Aragón,Interferencia en los datos y en el sistema,41 a 50,Femenino,2011,0.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Masculino,2019,13.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Masculino,2018,6.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Masculino,2017,14.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Masculino,2016,9.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Masculino,2015,9.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Masculino,2014,2.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Masculino,2013,0.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Masculino,2012,0.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Masculino,2011,1.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Femenino,2019,8.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Femenino,2018,6.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Femenino,2017,3.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Femenino,2016,5.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Femenino,2015,5.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Femenino,2014,1.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Femenino,2013,1.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Femenino,2012,2.0
Aragón,Interferencia en los datos y en el sistema,51 a 65,Femenino,2011,0.0
Aragón,Interferencia en los datos y en el sistema,> 65,Masculino,2019,21.0
Aragón,Interferencia en los datos y en el sistema,> 65,Masculino,2018,12.0
Aragón,Interferencia en los datos y en el sistema,> 65,Masculino,2017,17.0
Aragón,Interferencia en los datos y en el sistema,> 65,Masculino,2016,14.0
Aragón,Interferencia en los datos y en el sistema,> 65,Masculino,2015,14.0
Aragón,Interferencia en los datos y en el sistema,> 65,Masculino,2014,3.0
Aragón,Interferencia en los datos y en el sistema,> 65,Masculino,2013,1.0
Aragón,Interferencia en los datos y en el sistema,> 65,Masculino,2012,2.0
Aragón,Interferencia en los datos y en el sistema,> 65,Masculino,2011,1.0
Aragón,Interferencia en los datos y en el sistema,> 65,Femenino,2019,12.0
Aragón,Interferencia en los datos y en el sistema,> 65,Femenino,2018,7.0
Aragón,Interferencia en los datos y en el sistema,> 65,Femenino,2017,5.0
Aragón,Interferencia en los datos y en el sistema,> 65,Femenino,2016,5.0
Aragón,Interferencia en los datos y en el sistema,> 65,Femenino,2015,5.0
Aragón,Interferencia en los datos y en el sistema,> 65,Femenino,2014,3.0
Aragón,Interferencia en los datos y en el sistema,> 65,Femenino,2013,1.0
Aragón,Interferencia en los datos y en el sistema,> 65,Femenino,2012,1.0
Aragón,Interferencia en los datos y en el sistema,> 65,Femenino,2011,0.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Masculino,2019,0.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Masculino,2018,0.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Masculino,2017,0.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Masculino,2016,0.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Masculino,2015,0.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Masculino,2014,0.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Masculino,2013,0.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Masculino,2012,0.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Masculino,2011,0.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Femenino,2019,21.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Femenino,2018,9.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Femenino,2017,11.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Femenino,2016,5.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Femenino,2015,9.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Femenino,2014,4.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Femenino,2013,2.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Femenino,2012,1.0
Aragón,Interferencia en los datos y en el sistema,Desconocida,Femenino,2011,1.0
Asturias,Acceso e interceptación ilícita,< 18,Masculino,2019,1.0
Asturias,Acceso e interceptación ilícita,< 18,Masculino,2018,0.0
Asturias,Acceso e interceptación ilícita,< 18,Masculino,2017,1.0
Asturias,Acceso e interceptación ilícita,< 18,Masculino,2016,1.0
Asturias,Acceso e interceptación ilícita,< 18,Masculino,2015,1.0
Asturias,Acceso e interceptación ilícita,< 18,Masculino,2014,0.0
Asturias,Acceso e interceptación ilícita,< 18,Masculino,2013,1.0
Asturias,Acceso e interceptación ilícita,< 18,Masculino,2012,0.0
Asturias,Acceso e interceptación ilícita,< 18,Masculino,2011,0.0
Asturias,Acceso e interceptación ilícita,< 18,Femenino,2019,6.0
Asturias,Acceso e interceptación ilícita,< 18,Femenino,2018,5.0
Asturias,Acceso e interceptación ilícita,< 18,Femenino,2017,5.0
Asturias,Acceso e interceptación ilícita,< 18,Femenino,2016,2.0
Asturias,Acceso e interceptación ilícita,< 18,Femenino,2015,6.0
Asturias,Acceso e interceptación ilícita,< 18,Femenino,2014,3.0
Asturias,Acceso e interceptación ilícita,< 18,Femenino,2013,5.0
Asturias,Acceso e interceptación ilícita,< 18,Femenino,2012,2.0
Asturias,Acceso e interceptación ilícita,< 18,Femenino,2011,0.0
Asturias,Acceso e interceptación ilícita,18 a 25,Masculino,2019,7.0
Asturias,Acceso e interceptación ilícita,18 a 25,Masculino,2018,5.0
Asturias,Acceso e interceptación ilícita,18 a 25,Masculino,2017,6.0
Asturias,Acceso e interceptación ilícita,18 a 25,Masculino,2016,3.0
Asturias,Acceso e interceptación ilícita,18 a 25,Masculino,2015,7.0
Asturias,Acceso e interceptación ilícita,18 a 25,Masculino,2014,3.0
Asturias,Acceso e interceptación ilícita,18 a 25,Masculino,2013,6.0
Asturias,Acceso e interceptación ilícita,18 a 25,Masculino,2012,2.0
Asturias,Acceso e interceptación ilícita,18 a 25,Masculino,2011,0.0
Asturias,Acceso e interceptación ilícita,18 a 25,Femenino,2019,3.0
Asturias,Acceso e interceptación ilícita,18 a 25,Femenino,2018,2.0
Asturias,Acceso e interceptación ilícita,18 a 25,Femenino,2017,1.0
Asturias,Acceso e interceptación ilícita,18 a 25,Femenino,2016,2.0
Asturias,Acceso e interceptación ilícita,18 a 25,Femenino,2015,0.0
Asturias,Acceso e interceptación ilícita,18 a 25,Femenino,2014,6.0
Asturias,Acceso e interceptación ilícita,18 a 25,Femenino,2013,3.0
Asturias,Acceso e interceptación ilícita,18 a 25,Femenino,2012,2.0
Asturias,Acceso e interceptación ilícita,18 a 25,Femenino,2011,4.0
Asturias,Acceso e interceptación ilícita,26 a 40,Masculino,2019,0.0
Asturias,Acceso e interceptación ilícita,26 a 40,Masculino,2018,0.0
Asturias,Acceso e interceptación ilícita,26 a 40,Masculino,2017,0.0
Asturias,Acceso e interceptación ilícita,26 a 40,Masculino,2016,0.0
Asturias,Acceso e interceptación ilícita,26 a 40,Masculino,2015,0.0
Asturias,Acceso e interceptación ilícita,26 a 40,Masculino,2014,0.0
Asturias,Acceso e interceptación ilícita,26 a 40,Masculino,2013,0.0
Asturias,Acceso e interceptación ilícita,26 a 40,Masculino,2012,0.0
Asturias,Acceso e interceptación ilícita,26 a 40,Masculino,2011,0.0
Asturias,Acceso e interceptación ilícita,26 a 40,Femenino,2019,10.0
Asturias,Acceso e interceptación ilícita,26 a 40,Femenino,2018,8.0
Asturias,Acceso e interceptación ilícita,26 a 40,Femenino,2017,7.0
Asturias,Acceso e interceptación ilícita,26 a 40,Femenino,2016,7.0
Asturias,Acceso e interceptación ilícita,26 a 40,Femenino,2015,10.0
Asturias,Acceso e interceptación ilícita,26 a 40,Femenino,2014,9.0
Asturias,Acceso e interceptación ilícita,26 a 40,Femenino,2013,7.0
Asturias,Acceso e interceptación ilícita,26 a 40,Femenino,2012,7.0
Asturias,Acceso e interceptación ilícita,26 a 40,Femenino,2011,13.0
Asturias,Acceso e interceptación ilícita,41 a 50,Masculino,2019,19.0
Asturias,Acceso e interceptación ilícita,41 a 50,Masculino,2018,12.0
Asturias,Acceso e interceptación ilícita,41 a 50,Masculino,2017,7.0
Asturias,Acceso e interceptación ilícita,41 a 50,Masculino,2016,5.0
Asturias,Acceso e interceptación ilícita,41 a 50,Masculino,2015,6.0
Asturias,Acceso e interceptación ilícita,41 a 50,Masculino,2014,6.0
Asturias,Acceso e interceptación ilícita,41 a 50,Masculino,2013,3.0
Asturias,Acceso e interceptación ilícita,41 a 50,Masculino,2012,7.0
Asturias,Acceso e interceptación ilícita,41 a 50,Masculino,2011,13.0
Asturias,Acceso e interceptación ilícita,41 a 50,Femenino,2019,0.0
Asturias,Acceso e interceptación ilícita,41 a 50,Femenino,2018,0.0
Asturias,Acceso e interceptación ilícita,41 a 50,Femenino,2017,0.0
Asturias,Acceso e interceptación ilícita,41 a 50,Femenino,2016,0.0
Asturias,Acceso e interceptación ilícita,41 a 50,Femenino,2015,0.0
Asturias,Acceso e interceptación ilícita,41 a 50,Femenino,2014,0.0
Asturias,Acceso e interceptación ilícita,41 a 50,Femenino,2013,0.0
Asturias,Acceso e interceptación ilícita,41 a 50,Femenino,2012,0.0
Asturias,Acceso e interceptación ilícita,41 a 50,Femenino,2011,0.0
Asturias,Acceso e interceptación ilícita,51 a 65,Masculino,2019,13.0
Asturias,Acceso e interceptación ilícita,51 a 65,Masculino,2018,2.0
Asturias,Acceso e interceptación ilícita,51 a 65,Masculino,2017,1.0
Asturias,Acceso e interceptación ilícita,51 a 65,Masculino,2016,3.0
Asturias,Acceso e interceptación ilícita,51 a 65,Masculino,2015,2.0
Asturias,Acceso e interceptación ilícita,51 a 65,Masculino,2014,1.0
Asturias,Acceso e interceptación ilícita,51 a 65,Masculino,2013,8.0
Asturias,Acceso e interceptación ilícita,51 a 65,Masculino,2012,4.0
Asturias,Acceso e interceptación ilícita,51 a 65,Masculino,2011,2.0
Asturias,Acceso e interceptación ilícita,51 a 65,Femenino,2019,8.0
Asturias,Acceso e interceptación ilícita,51 a 65,Femenino,2018,7.0
Asturias,Acceso e interceptación ilícita,51 a 65,Femenino,2017,9.0
Asturias,Acceso e interceptación ilícita,51 a 65,Femenino,2016,0.0
Asturias,Acceso e interceptación ilícita,51 a 65,Femenino,2015,6.0
Asturias,Acceso e interceptación ilícita,51 a 65,Femenino,2014,6.0
Asturias,Acceso e interceptación ilícita,51 a 65,Femenino,2013,2.0
Asturias,Acceso e interceptación ilícita,51 a 65,Femenino,2012,6.0
Asturias,Acceso e interceptación ilícita,51 a 65,Femenino,2011,0.0
Asturias,Acceso e interceptación ilícita,> 65,Masculino,2019,21.0
Asturias,Acceso e interceptación ilícita,> 65,Masculino,2018,9.0
Asturias,Acceso e interceptación ilícita,> 65,Masculino,2017,10.0
Asturias,Acceso e interceptación ilícita,> 65,Masculino,2016,3.0
Asturias,Acceso e interceptación ilícita,> 65,Masculino,2015,8.0
Asturias,Acceso e interceptación ilícita,> 65,Masculino,2014,7.0
Asturias,Acceso e interceptación ilícita,> 65,Masculino,2013,10.0
Asturias,Acceso e interceptación ilícita,> 65,Masculino,2012,10.0
Asturias,Acceso e interceptación ilícita,> 65,Masculino,2011,2.0
Asturias,Acceso e interceptación ilícita,> 65,Femenino,2019,12.0
Asturias,Acceso e interceptación ilícita,> 65,Femenino,2018,2.0
Asturias,Acceso e interceptación ilícita,> 65,Femenino,2017,4.0
Asturias,Acceso e interceptación ilícita,> 65,Femenino,2016,9.0
Asturias,Acceso e interceptación ilícita,> 65,Femenino,2015,1.0
Asturias,Acceso e interceptación ilícita,> 65,Femenino,2014,6.0
Asturias,Acceso e interceptación ilícita,> 65,Femenino,2013,2.0
Asturias,Acceso e interceptación ilícita,> 65,Femenino,2012,4.0
Asturias,Acceso e interceptación ilícita,> 65,Femenino,2011,0.0
Asturias,Acceso e interceptación ilícita,Desconocida,Masculino,2019,0.0
Asturias,Acceso e interceptación ilícita,Desconocida,Masculino,2018,0.0
Asturias,Acceso e interceptación ilícita,Desconocida,Masculino,2017,0.0
Asturias,Acceso e interceptación ilícita,Desconocida,Masculino,2016,0.0
Asturias,Acceso e interceptación ilícita,Desconocida,Masculino,2015,0.0
Asturias,Acceso e interceptación ilícita,Desconocida,Masculino,2014,0.0
Asturias,Acceso e interceptación ilícita,Desconocida,Masculino,2013,0.0
Asturias,Acceso e interceptación ilícita,Desconocida,Masculino,2012,0.0
Asturias,Acceso e interceptación ilícita,Desconocida,Masculino,2011,0.0
Asturias,Acceso e interceptación ilícita,Desconocida,Femenino,2019,17.0
Asturias,Acceso e interceptación ilícita,Desconocida,Femenino,2018,5.0
Asturias,Acceso e interceptación ilícita,Desconocida,Femenino,2017,8.0
Asturias,Acceso e interceptación ilícita,Desconocida,Femenino,2016,13.0
Asturias,Acceso e interceptación ilícita,Desconocida,Femenino,2015,2.0
Asturias,Acceso e interceptación ilícita,Desconocida,Femenino,2014,7.0
Asturias,Acceso e interceptación ilícita,Desconocida,Femenino,2013,4.0
Asturias,Acceso e interceptación ilícita,Desconocida,Femenino,2012,5.0
Asturias,Acceso e interceptación ilícita,Desconocida,Femenino,2011,2.0
Asturias,Amenazas y coacciones,< 18,Masculino,2019,12.0
Asturias,Amenazas y coacciones,< 18,Masculino,2018,1.0
Asturias,Amenazas y coacciones,< 18,Masculino,2017,5.0
Asturias,Amenazas y coacciones,< 18,Masculino,2016,5.0
Asturias,Amenazas y coacciones,< 18,Masculino,2015,7.0
Asturias,Amenazas y coacciones,< 18,Masculino,2014,2.0
Asturias,Amenazas y coacciones,< 18,Masculino,2013,3.0
Asturias,Amenazas y coacciones,< 18,Masculino,2012,2.0
Asturias,Amenazas y coacciones,< 18,Masculino,2011,2.0
Asturias,Amenazas y coacciones,< 18,Femenino,2019,16.0
Asturias,Amenazas y coacciones,< 18,Femenino,2018,5.0
Asturias,Amenazas y coacciones,< 18,Femenino,2017,9.0
Asturias,Amenazas y coacciones,< 18,Femenino,2016,13.0
Asturias,Amenazas y coacciones,< 18,Femenino,2015,6.0
Asturias,Amenazas y coacciones,< 18,Femenino,2014,5.0
Asturias,Amenazas y coacciones,< 18,Femenino,2013,35.0
Asturias,Amenazas y coacciones,< 18,Femenino,2012,10.0
Asturias,Amenazas y coacciones,< 18,Femenino,2011,12.0
Asturias,Amenazas y coacciones,18 a 25,Masculino,2019,28.0
Asturias,Amenazas y coacciones,18 a 25,Masculino,2018,6.0
Asturias,Amenazas y coacciones,18 a 25,Masculino,2017,14.0
Asturias,Amenazas y coacciones,18 a 25,Masculino,2016,18.0
Asturias,Amenazas y coacciones,18 a 25,Masculino,2015,13.0
Asturias,Amenazas y coacciones,18 a 25,Masculino,2014,7.0
Asturias,Amenazas y coacciones,18 a 25,Masculino,2013,38.0
Asturias,Amenazas y coacciones,18 a 25,Masculino,2012,12.0
Asturias,Amenazas y coacciones,18 a 25,Masculino,2011,14.0
Asturias,Amenazas y coacciones,18 a 25,Femenino,2019,19.0
Asturias,Amenazas y coacciones,18 a 25,Femenino,2018,11.0
Asturias,Amenazas y coacciones,18 a 25,Femenino,2017,19.0
Asturias,Amenazas y coacciones,18 a 25,Femenino,2016,25.0
Asturias,Amenazas y coacciones,18 a 25,Femenino,2015,15.0
Asturias,Amenazas y coacciones,18 a 25,Femenino,2014,21.0
Asturias,Amenazas y coacciones,18 a 25,Femenino,2013,15.0
Asturias,Amenazas y coacciones,18 a 25,Femenino,2012,17.0
Asturias,Amenazas y coacciones,18 a 25,Femenino,2011,15.0
Asturias,Amenazas y coacciones,26 a 40,Masculino,2019,0.0
Asturias,Amenazas y coacciones,26 a 40,Masculino,2018,0.0
Asturias,Amenazas y coacciones,26 a 40,Masculino,2017,0.0
Asturias,Amenazas y coacciones,26 a 40,Masculino,2016,0.0
Asturias,Amenazas y coacciones,26 a 40,Masculino,2015,0.0
Asturias,Amenazas y coacciones,26 a 40,Masculino,2014,0.0
Asturias,Amenazas y coacciones,26 a 40,Masculino,2013,0.0
Asturias,Amenazas y coacciones,26 a 40,Masculino,2012,0.0
Asturias,Amenazas y coacciones,26 a 40,Masculino,2011,0.0
Asturias,Amenazas y coacciones,26 a 40,Femenino,2019,42.0
Asturias,Amenazas y coacciones,26 a 40,Femenino,2018,27.0
Asturias,Amenazas y coacciones,26 a 40,Femenino,2017,48.0
Asturias,Amenazas y coacciones,26 a 40,Femenino,2016,50.0
Asturias,Amenazas y coacciones,26 a 40,Femenino,2015,33.0
Asturias,Amenazas y coacciones,26 a 40,Femenino,2014,38.0
Asturias,Amenazas y coacciones,26 a 40,Femenino,2013,46.0
Asturias,Amenazas y coacciones,26 a 40,Femenino,2012,37.0
Asturias,Amenazas y coacciones,26 a 40,Femenino,2011,43.0
Asturias,Amenazas y coacciones,41 a 50,Masculino,2019,57.0
Asturias,Amenazas y coacciones,41 a 50,Masculino,2018,61.0
Asturias,Amenazas y coacciones,41 a 50,Masculino,2017,53.0
Asturias,Amenazas y coacciones,41 a 50,Masculino,2016,55.0
Asturias,Amenazas y coacciones,41 a 50,Masculino,2015,59.0
Asturias,Amenazas y coacciones,41 a 50,Masculino,2014,54.0
Asturias,Amenazas y coacciones,41 a 50,Masculino,2013,65.0
Asturias,Amenazas y coacciones,41 a 50,Masculino,2012,70.0
Asturias,Amenazas y coacciones,41 a 50,Masculino,2011,52.0
Asturias,Amenazas y coacciones,41 a 50,Femenino,2019,0.0
Asturias,Amenazas y coacciones,41 a 50,Femenino,2018,0.0
Asturias,Amenazas y coacciones,41 a 50,Femenino,2017,0.0
Asturias,Amenazas y coacciones,41 a 50,Femenino,2016,0.0
Asturias,Amenazas y coacciones,41 a 50,Femenino,2015,0.0
Asturias,Amenazas y coacciones,41 a 50,Femenino,2014,0.0
Asturias,Amenazas y coacciones,41 a 50,Femenino,2013,1.0
Asturias,Amenazas y coacciones,41 a 50,Femenino,2012,0.0
Asturias,Amenazas y coacciones,41 a 50,Femenino,2011,2.0
Asturias,Amenazas y coacciones,51 a 65,Masculino,2019,34.0
Asturias,Amenazas y coacciones,51 a 65,Masculino,2018,29.0
Asturias,Amenazas y coacciones,51 a 65,Masculino,2017,38.0
Asturias,Amenazas y coacciones,51 a 65,Masculino,2016,31.0
Asturias,Amenazas y coacciones,51 a 65,Masculino,2015,37.0
Asturias,Amenazas y coacciones,51 a 65,Masculino,2014,41.0
Asturias,Amenazas y coacciones,51 a 65,Masculino,2013,41.0
Asturias,Amenazas y coacciones,51 a 65,Masculino,2012,35.0
Asturias,Amenazas y coacciones,51 a 65,Masculino,2011,22.0
Asturias,Amenazas y coacciones,51 a 65,Femenino,2019,31.0
Asturias,Amenazas y coacciones,51 a 65,Femenino,2018,45.0
Asturias,Amenazas y coacciones,51 a 65,Femenino,2017,27.0
Asturias,Amenazas y coacciones,51 a 65,Femenino,2016,28.0
Asturias,Amenazas y coacciones,51 a 65,Femenino,2015,21.0
Asturias,Amenazas y coacciones,51 a 65,Femenino,2014,21.0
Asturias,Amenazas y coacciones,51 a 65,Femenino,2013,30.0
Asturias,Amenazas y coacciones,51 a 65,Femenino,2012,26.0
Asturias,Amenazas y coacciones,51 a 65,Femenino,2011,18.0
Asturias,Amenazas y coacciones,> 65,Masculino,2019,65.0
Asturias,Amenazas y coacciones,> 65,Masculino,2018,74.0
Asturias,Amenazas y coacciones,> 65,Masculino,2017,65.0
Asturias,Amenazas y coacciones,> 65,Masculino,2016,59.0
Asturias,Amenazas y coacciones,> 65,Masculino,2015,58.0
Asturias,Amenazas y coacciones,> 65,Masculino,2014,63.0
Asturias,Amenazas y coacciones,> 65,Masculino,2013,71.0
Asturias,Amenazas y coacciones,> 65,Masculino,2012,61.0
Asturias,Amenazas y coacciones,> 65,Masculino,2011,40.0
Asturias,Amenazas y coacciones,> 65,Femenino,2019,29.0
Asturias,Amenazas y coacciones,> 65,Femenino,2018,14.0
Asturias,Amenazas y coacciones,> 65,Femenino,2017,21.0
Asturias,Amenazas y coacciones,> 65,Femenino,2016,27.0
Asturias,Amenazas y coacciones,> 65,Femenino,2015,22.0
Asturias,Amenazas y coacciones,> 65,Femenino,2014,26.0
Asturias,Amenazas y coacciones,> 65,Femenino,2013,30.0
Asturias,Amenazas y coacciones,> 65,Femenino,2012,22.0
Asturias,Amenazas y coacciones,> 65,Femenino,2011,39.0
Asturias,Amenazas y coacciones,Desconocida,Masculino,2019,0.0
Asturias,Amenazas y coacciones,Desconocida,Masculino,2018,0.0
Asturias,Amenazas y coacciones,Desconocida,Masculino,2017,0.0
Asturias,Amenazas y coacciones,Desconocida,Masculino,2016,0.0
Asturias,Amenazas y coacciones,Desconocida,Masculino,2015,1.0
Asturias,Amenazas y coacciones,Desconocida,Masculino,2014,0.0
Asturias,Amenazas y coacciones,Desconocida,Masculino,2013,0.0
Asturias,Amenazas y coacciones,Desconocida,Masculino,2012,0.0
Asturias,Amenazas y coacciones,Desconocida,Masculino,2011,0.0
Asturias,Amenazas y coacciones,Desconocida,Femenino,2019,47.0
Asturias,Amenazas y coacciones,Desconocida,Femenino,2018,35.0
Asturias,Amenazas y coacciones,Desconocida,Femenino,2017,37.0
Asturias,Amenazas y coacciones,Desconocida,Femenino,2016,44.0
Asturias,Amenazas y coacciones,Desconocida,Femenino,2015,34.0
Asturias,Amenazas y coacciones,Desconocida,Femenino,2014,34.0
Asturias,Amenazas y coacciones,Desconocida,Femenino,2013,43.0
Asturias,Amenazas y coacciones,Desconocida,Femenino,2012,39.0
Asturias,Amenazas y coacciones,Desconocida,Femenino,2011,50.0
Asturias,Contra el honor,< 18,Masculino,2019,1.0
Asturias,Contra el honor,< 18,Masculino,2018,1.0
Asturias,Contra el honor,< 18,Masculino,2017,2.0
Asturias,Contra el honor,< 18,Masculino,2016,0.0
Asturias,Contra el honor,< 18,Masculino,2015,0.0
Asturias,Contra el honor,< 18,Masculino,2014,2.0
Asturias,Contra el honor,< 18,Masculino,2013,1.0
